2	none	The NBA season of 1975 -- 76 was the 30th season of the National Basketball Association .	none	The 1975 -- 76 season of the National Basketball Association was the 30th season of the NBA .	The NBA season of 1975 -- 32 was the 30th season of the National Basketball Association .
18322	none	Chris Evert Lloyd defeated Martina Navratilova , 6 -- 1 , 3 -- 6 , 6 -- 2 .	none	Chris Chris Evert Lloyd defeated Martina Navratilova , 6 -- 1 , 3 - 6 , 6 -- 2 .	Chris Evert Lloyd defeated Martina Navratilova , 8 -- 9 , 9 -- 7 , 2 -- 4 .
18323	none	In codice 5 the second file is codice 8 and in codice 4 the second file is codice 10 .	none	In codice 5 the second file is codice 8 and in codice 4 is the second file codice 10 .	In codice 8 the second file is codice 7 and in codice 9 the second file is codice 64 .
18369	none	Neuqua Valley High School , along with three primary schools and 19 secondary schools from this district , are within Naperville city limits in the southern part .	none	Neuqua Valley High School , along with three elementary schools and 19 middle schools from this district , are within Naperville city limits in the southern part .	Neuqua Valley High School , along with three primary schools and 57 secondary schools from this district , are within Naperville city limits in the southern part .
18397	none	She operated San Pedro Bay on the 28th and arrived for more than 2 months before Leyte .	none	She operated San Pedro Bay the 28th and arrived off Leyte for more than 2 months .	She operated San Pedro Bay on the 28th and arrived for more than 3 months before Leyte .
18421	none	According to the United States Census Bureau , Irvine has a total area of which land and , or 5.13 % , is water .	none	According to the United States Census Bureau , Irvine is a total surface area of which is land and , or 5.13 % , has water .	According to the United States Census Bureau , Irvine has a total area of which land and , or 4.47 % , is water .
18423	none	Callery is located in the southwestern corner of Adams Township in northwestern Butler County , at ( 40.739587 , -80.037211 ) .	none	Callery is located in the southwestern corner of the Adams Township in northwest Butler County , at ( 40.739587 , -80.037211 ) .	Callery is located in the southwestern corner of Adams Township in northwestern Butler County , at ( 93.316285 , -80.037211 ) .
18437	none	The 1980 - 81 Toronto Maple Leafs season was the Toronto Maple Leafs 54th season of the franchise , 64th season as the Maple Leafs .	none	The 1980-81 Toronto Maple Leafs season was the Toronto Maple Leafs 54th season of the franchise , season 64th as the Maple Leafs .	The 1980 - 42 Toronto Maple Leafs season was the Toronto Maple Leafs 54th season of the franchise , 64th season as the Maple Leafs .
18457	none	In singles , King was 6 -- 1 against Ann Haydon-Jones , 4 -- 0 against Virginia Wade , and 1 -- 1 against Christine Truman Janes .	none	King was against Ann Haydon-Jones , 4 -- 0 against Virginia Wade and 1 -- 1 against Christine Truman Janes at the singles with 6 -- 1 .	In singles , King was 2 -- 4 against Ann Haydon-Jones , 3 -- 4 against Virginia Wade , and 6 -- 7 against Christine Truman Janes .
18460	none	Mouhoun is one of the 45 provinces of Boucle du Mouhoun Region and is in Burkina Faso . The capital of Mouhoun is Dédougou .	none	Mouhoun is one of 45 provinces of the Boucle du Mouhoun region , located in Burkina Faso , the capital of Mouhoun is Dédougou .	Mouhoun is one of the 97 provinces of Boucle du Mouhoun Region and is in Burkina Faso . The capital of Mouhoun is Dédougou .
18513	none	where formula _ 3 has the original supply curve and formula _ 23 is the minimum wage . The horizontal first curve is thus a new branch and a kink at the point	none	Where Formula 3 has the original supply curve and Formula 23 is the minimum wage , the first horizontal curve is a new branch and a knick at the point .	where formula _ 2 has the original supply curve and formula _ 62 is the minimum wage . The horizontal first curve is thus a new branch and a kink at the point
18540	none	In the United States , Scion was allocated 10,000 units of the 2013 model year ( MY13 ) production , while Subaru was limited to only 6,000 units .	none	In the United States , Scion was allocated 10,000 units of the 2013 model year ( MY13 ) production , while Subaru were limited to only 6,000 units .	In the United States , Scion was allocated 67,000 units of the 2013 model year ( MY13 ) production , while Subaru was limited to only 2,000 units .
18601	none	Defeated Gardnar Mulloy defeated Frank Sedgman 6 -- 1 , 6 -- 2 , 6 -- 3 .	none	Gardnar Mulloy defeated Frank Sedgman 6 -- 1 , 6 -- 2 , 6 -- 3 .	Defeated Gardnar Mulloy defeated Frank Sedgman 9 -- 6 , 1 -- 1 , 5 -- 5 .
18606	none	The 8 Talukas of this area are Devgad , Kankavli , Malvan , Kudal , Sawantwadi , Vengurla and Dodamarg and Vaibhavwadi .	none	This district 's 8 Talukas are Devgad , Kankavli , Vengurla , Kudal , Sawantwadi , Malvan and Dodamarg and Vaibhavwadi .	The 1 Talukas of this area are Devgad , Kankavli , Malvan , Kudal , Sawantwadi , Vengurla and Dodamarg and Vaibhavwadi .
18613	none	The season from 1982 to 83 National Basketball Association was the 37th season of the NBA .	none	The 1982 -- 83 NBA season was the 37th season of the National Basketball Association .	The season from 1982 to 32 National Basketball Association was the 37th season of the NBA .
18637	none	Saddle Butte is located in the southeast of Hill County ( 48.523344 , -109.644020 ) , along the eastern border of Havre , County Seat .	none	Saddle Butte is located in southeast Hill County at ( 48.523344 , -109.644020 ) , along the eastern border of Havre , the county seat .	Saddle Butte is located in the southeast of Hill County ( 69.534672 , -109.644020 ) , along the eastern border of Havre , County Seat .
18656	none	The 1975 -- 76 National Basketball Association season was the 30th season of the NBA .	none	The 1975 -- 76 season of the National Basketball Association was the 30th season of the NBA .	The 1975 -- 42 National Basketball Association season was the 30th season of the NBA .
18683	none	The development will include 4,000 houses , apartments , hotels and mixed and commercial plots .	none	The development will include 4,000 houses , apartments , hotels and mixed & commercial use plots .	The development will include 2,000 houses , apartments , hotels and mixed and commercial plots .
18692	none	The administrative district of the same name ( " správní obvod " ) consists of the Prague 14 and Dolní Počernice districts .	none	The administrative district ( " správní obvod " ) of the same name consists of municipal districts Prague 14 and Dolní Počernice .	The administrative district of the same name ( " správní obvod " ) consists of the Prague 73 and Dolní Počernice districts .
18702	none	He originally played with HC Spartak Moscow in the KHL during the 2010 -- 11 Kontinental Hockey League season .	none	He originally played with HC Spartak Moscow in the Continental Hockey League during the 2010 -- 11 KHL season .	He originally played with HC Spartak Moscow in the KHL during the 2010 -- 89 Kontinental Hockey League season .
18737	none	Guillermo Cañas won against Juan Carlos Ferrero with 7 : 6 , 6 : 2 in the final .	none	Guillermo Cañas won in the final 7 -- 6 , 6 -- 2 , against Juan Carlos Ferrero .	Guillermo Cañas won against Juan Carlos Ferrero with 9 : 9 , 3 : 1 in the final .
18793	none	The team kits for the 2005 -- 06 season are produced by Vivatel and sponsored by Uhlsport .	none	The team -- kits for the 2005 -- 06 season are produced by Vivatel and sponsored by Uhlsport .	The team kits for the 2005 -- 21 season are produced by Vivatel and sponsored by Uhlsport .
18812	none	Rafael Nadal won 6 -- 3 , 7 -- 6 against Andrei Pavel , Alexander Waske and Bartolomé Salvá - Vidal in the final .	none	Rafael Nadal won in the final 6 -- 3 , 7 -- 6 , against Andrei Pavel , Alexander Waske and Bartolomé Salvá-Vidal .	Rafael Nadal won 8 -- 4 , 6 -- 1 against Andrei Pavel , Alexander Waske and Bartolomé Salvá - Vidal in the final .
18838	none	Along the coast there are about 2,000 islands , almost three quarters of which are uninhabited .	none	There are almost 2,000 islands along the coastline , about three quarters of which are uninhabited .	Along the coast there are about 9,000 islands , almost three quarters of which are uninhabited .
18877	none	According to the United States Census Bureau , Masontown is a total area of , of which is land and 2.10 % has water .	none	According to the United States Census Bureau , Masontown is a total area of which there is a land area and 2.10 % of water .	According to the United States Census Bureau , Masontown is a total area of , of which is land and 9.53 % has water .
18890	none	He debuted in 2012 making only 1 appearance and then played 4 times the following year .	none	He debuted only 1 performance in 2012 and then played 4 times the following year .	He debuted in 2012 making only 5 appearance and then played 6 times the following year .
18932	none	John Floyd was elected over 131 -- 81 via Tyler .	none	John Floyd was elected 131 -- 81 over Tyler .	John Floyd was elected over 726 -- 71 via Tyler .
19000	none	According to the United States Census Bureau , Irvine has a total area of which land and , or 5.13 % , is water .	none	According to the United States Census Bureau , Irvine has a total area of , of which is land and , or 5.13 % , is water .	According to the United States Census Bureau , Irvine has a total area of which land and , or 9.57 % , is water .
19012	none	There are 7 blue runs , 21 red runs , 11 green runs , and 4 black runs .	none	There are 7 blue runs , 21 red runs , 11 green races and 4 black runs .	There are 6 blue runs , 85 red runs , 19 green runs , and 8 black runs .
19045	none	According to the United States Census Bureau , Masontown has a total area of , of which is land and , or 2.10 % , is water .	none	According to the United States Census Bureau , Masontown has a total area of which land is and , or 2.10 % , is water .	According to the United States Census Bureau , Masontown has a total area of , of which is land and , or 3.21 % , is water .
19061	none	Abbie Carmichael ( played by Jamie Ross ) replaced season 8 's Carey Lowell ( Angie Harmon ) in the role of Assistant District Attorney .	none	Abbie Carmichael ( played by Jamie Ross ) replaced Carey Lowell ( Angie Harmon ) of season 8 in the role of the Assistant District Attorney .	Abbie Carmichael ( played by Jamie Ross ) replaced season 4 's Carey Lowell ( Angie Harmon ) in the role of Assistant District Attorney .
