3415	Selon le Bureau de recensement des États-Unis, Southport a une superficie totale de , dont des terres et , ou 0,91 %, est de l'eau.	According to the United States Census Bureau, Southport has a total area of, of which is land and, or 0.91%, is water.	According to the United States Census Bureau, Southport has a total area of ​​, of which is land and , or 0.91%, is water.	According to the United States Census Bureau, Southport has a total area of which land is and, or 0.91%, is water.	According, Southport has a total area of, of which is land and, or 0.91%, is water.	According to the has a total area of ​​, of which is land and, or 0.91%, is water.
2202	Le championnat de 2007 se déroula du 21 au 28 janvier à Spokane, à Washington, au Spokane Convention Center et à la Spokane Arena.	The 2007 championships took place between January 21 and 28 in Spokane, Washington, at the Spokane Convention Center and the Spokane Arena.	The 2007 championship was held January 21-28 in Spokane, Washington at the Spokane Convention Center and Spokane Arena.	The 2007 championship took place between 21 and 28 January in Spokane, Washington, in the Spokane Arena and the Spokane Convention Center.	The January 21 and 28 in Spokane, Washington, at the Spokane convention center and the Spokane arena.	The 2007 championship in Spokane, Washington at the Spokane convention center and Spokane arena.
2197	Un foyer devient chargé d'énergie enragée et donne forme à l'esprit nécromantique qu'il renferme.	A house becomes charged with angry energy and gives shape to the necromantic spirit within.	A hearth becomes charged with enraged energy and gives shape to the necromantic spirit within.	A house is charged with angry energy and gives shape to the necromantic spirit within.	A House angry energy and gives shape to the necromantic spirit within.	Charged with enraged energy and gives shape to the necromantic spirit within.
3546	Somers était le fils de Charles Cocks, 1er baron Somers, et d'Elizabeth, fille de Richard Eliot.	Somers was the son of Charles Cocks, 1st Baron Somers, and Elizabeth, the daughter of Richard Eliot.	Somers was the son of Charles Cocks, 1st Baron Somers, and Elizabeth, daughter of Richard Eliot.	Somers was the son of Charles Cocks, 1st Baron Somers, and Elizabeth, daughter of Richard Eliot.	Of Charles Cocks, 1ST Baron Somers, and Elizabeth, the daughter of Richard Eliot.	Somers was Cocks, 1ST Baron Somers, and Elizabeth, daughter of Richard Eliot.
3541	Après son succès, Jane Campion embaucha Jones pour un mini-série télévisée qui s'est convertie au film Un ange à ma table, une adaptation de l'autobiographie de Janet Frame.	Following her success, Jane Campion hired Jones for a television miniseries that turned into the film Angel at my Table, an adaptation of Janet Frame's autobiography.	Following its success, Jane Campion hired Jones for a television miniseries that converted into the film An Angel at My Table, an adaptation of Janet Frame's autobiography.	Following her success, Jane Campion Jones was an adaptation of Janet Frame's autobiography for a television miniseries that turned into the movie Angel at my Table.	Following her for a television Miniseries that turned into the film Angel at my table, an adaptation of Janet frame's autobiography.	Following its success a television Miniseries that converted into the film an Angel at my table, an adaptation of Janet frame's autobiography.
3151	En 1938, il devint l'anthropologue du gouvernement du Soudan anglo-égyptien et mena des recherches sur le terrain avec les Nouba.	In 1938 he became the Government Anthropologist of the Anglo-Egyptian Sudan and conducted fieldwork with the Nuba.	In 1938, he became the government anthropologist of Anglo-Egyptian Sudan and conducted field research with the Nuba.	In 1938 he became anthropologist of the anglo-Egyptian Sudan to the government and led fieldwork with the Nuba.	In 1938 he of the Anglo-Egyptian Sudan and conducted fieldwork with the Nuba.	In the government anthropologist of Anglo-Egyptian Sudan and conducted field research with the Nuba.
4763	La Floride Espagnole fut défendue par quelques centaines de soldats espagnols et la politique habituelle était de pacifier les Indiens sur leur territoire et de ne pas leur fournir d'armes.	Spanish Florida was defended by a few hundred Spanish troops, and the regular policy was to pacify the Indians in their territory and not to provide them with weapons.	Spanish Florida was defended by a few hundred Spanish soldiers and the usual policy was to pacify the Indians in their territory and not to supply them with arms.	Spanish Florida was defended by a few hundred Spanish troops; regular policy was to pacify the Indians in their territory and not to provide them with weapons.	Few hundred Spanish troops, and the regular policy was to pacify the Indians in their territory and not to provide them with weapons.	Few hundred Spanish soldiers and the usual policy was to pacify the Indians in their territory and not to supply them with arms.
674	Ses limites approximatives étaient de Pearl Street à Grier Avenue et de South Broad Street à ce qui est maintenant US 1 '9.	Its approximate boundaries were Pearl Street to Grier Avenue and South Broad Street to what is now US 1 '9.	Its approximate boundaries were from Pearl Street to Grier Avenue and from South Broad Street to what is now US 1'9.	Its approximate borders were Pearl Street to Grier Avenue and South Broad Street to what is now US 1 & 9.	Its street to Grier Avenue and South broad street to what is now us 1' 9.	Pearl street to Grier Avenue and from South broad street to what is now us 1' 9.
3610	Plus tard, lors de l'attaque d'André, comte d'Angoulême, Richard sera parmi les troupes d'Adhemar.	Later, during the attack on Andrew, Count of Angoulême, Richard would be Adhemar's troops.	Later, during the attack of André, count of Angoulême, Richard will be among the troops of Adhemar.	Later, Richard would be Adhemar's forces during the attack on Andrew, count of Angoulême.	Attack on Andrew, count of Angoulême, Richard would be Adhemar's troops.	Later, during, count of Angoulême, Richard will be among the troops of Adhemar.
5580	Toutefois, pour vaincre Slovak, Derek doit devenir un assassin vampire.	However, in order to defeat Slovak, Derek must become a vampire assassin.	However, to defeat Slovak, Derek must become a vampire assassin.	However, in order to defeat Slovak, Derek must become a vampire attacker.	However, defeat Slovak, Derek must become a Vampire assassin.	However Slovak, Derek must become a Vampire assassin.
5936	Les groupes "Air", Howie B, Mars IV, Les Négresses Vertes, FFF et Manu Chao ont aussi participé à l'album.	Also the groups ''Air ``, Howie B, Mars IV, Les Négresses Vertes and FFF and Manu Chao attended the album.	The groups "Air", Howie B, Mars IV, Les Négresses Vertes, FFF and Manu Chao also participated in the album.	Cassius, the groups ``Air '', Howie B, Mars IV, Les Négresses Vertes and FFF, and Manu Chao also participated in the album.	", Howie B, Mars IV, Les Négresses Vertes and Fff and Manu Chao attended the album.	, Howie B, Mars IV, Les Négresses Vertes, Fff and Manu Chao also participated in the album.
7093	Un événement jumeau s'est déroulé à l'Albert Park Lake à Melbourne et a été financé par la Fox FM (à Melbourne en Australie).	A sister event was held at Albert Park Lake in Melbourne and was sponsored by Fox FM (Melbourne, Australia).	A sister event took place at Albert Park Lake in Melbourne and was funded by Fox FM (in Melbourne, Australia).	One sister event was held at the Albert Park Lake in Melbourne, Australia and sponsored by Fox FM (Melbourne).	A sister park Lake in Melbourne and was sponsored by Fox FM (Melbourne, Australia).	A Albert park Lake in Melbourne and was funded by Fox FM (in Melbourne, Australia).
3497	Cordell Crockett a joué de la basse sur 5 chansons et Nathan Slade, le bassiste d'Ugly Kid Joe, a joué de la basse sur le reste.	Cordell Crockett played the bass on 5 songs, with Ugly Kid Joe bassist Nathan Slade playing bass on the rest.	Cordell Crockett played bass on 5 songs and Ugly Kid Joe's bassist Nathan Slade played bass on the rest.	Cordell Crockett played the bass on 5 songs, using Ugly Kid Joe Bassist Nathan Slade on the rest bass.	Cordell Crockett 5 songs, with ugly kid Joe Bassist Nathan Slade playing Bass on the rest.	On 5 songs and ugly kid Joe's Bassist Nathan Slade played Bass on the rest.
2320	Son père, Alfie Byrne, était un représentant, sénateur et maire du Dublin, l'autre frère Patrick Byrne était également TD.	His father, Alfie Byrne, was a representative, senator and lord mayor of Dublin, another brother Patrick Byrne was also TD.	His father, Alfie Byrne, was a representative, senator and mayor of Dublin, the other brother Patrick Byrne was also TD.	His father Alfie Byrne was an MP, TD, Senator and Lord Mayor of Dublin. Another brother Patrick Byrne was also a TD.	, was a representative, Senator and Lord Mayor of Dublin, another brother Patrick Byrne was also Td.	His father a representative, Senator and Mayor of Dublin, the other brother Patrick Byrne was also Td.
3342	Les espèces appartiennent à divers groupes écologiques, dont les arbustes xérophytes, les lianes et arbres, les plantes tropicales, les mycohétérotrophes, ainsi que différents représentants d’herbacées.	The species are members of various ecological groups, including xerophytic shrubs, lianas and trees, tropical plants, mycoheterotrophs, as well as different herbaceous representatives.	The species belong to various ecological groups, including xerophytic shrubs, lianas and trees, tropical plants, mycoheterotrophs, as well as different representatives of herbaceous plants.	The species are members of different ecological groups, including xerophytic shrubs, lianas and trees, tropical plants, mycoheterotrophy, as well as various herbal representatives.	The species are members of shrubs, Lianas and trees, tropical plants, Mycoheterotrophs, as well as different Herbaceous representatives.	Groups, including Xerophytic shrubs, Lianas and trees, tropical plants, Mycoheterotrophs, as well as different representatives of Herbaceous plants.
1304	De plus, un match triple menace pour le championnat des États-Unis fut entre le champion Jack Swagger, The Miz et Kofi Kingston.	Furthermore, a triple threat match for the United States Championship was between Champion Jack Swagger, The Miz and Kofi Kingston.	Additionally, a triple threat match for the United States Championship was between champion Jack Swagger, The Miz and Kofi Kingston.	Next was a Triple Threat match for the United States Championship between champion Jack Swagger, The Miz and Kofi Kingston.	Furthermore for the United States championship was between champion Jack swagger, the Miz and Kofi Kingston.	Additionally for the United States championship was between champion Jack swagger, the Miz and Kofi Kingston.
6294	"2" Benjamin Hough se maria le 29 août 1806 avec Stephen Ford, juge de paix du comté de Jefferson avec Elizabeth Core.	``2 ''Benjamin Hough was married on August 29, 1806 by Stephen Ford, Justice of Peace, in Jefferson County with Elizabeth Core.	"2" Benjamin Hough married on August 29, 1806 Stephen Ford, Justice of the Peace of Jefferson County with Elizabeth Core.	Benjamin Hough was to married Elizabeth Core on August 29, 1806, by Stephen Ford, justice of the Peace, in Jefferson County.	"2 "August 29, 1806 by Stephen Ford, justice of peace, in Jefferson County with Elizabeth core.	"on August 29, 1806 Stephen Ford, justice of the peace of Jefferson County with Elizabeth core.
3148	Dans le premier film, le comte Dracula devait mettre fin à une dispute entre eux et Murray, Wayne et Frank concernant le différend sur le divertissement.	In the first film, Count Dracula had to break up a dispute between them and Murray, Wayne and Frank over the entertainment dispute.	In the first film, Count Dracula had to end an argument between them and Murray, Wayne and Frank regarding the entertainment dispute.	In the first film, Count Dracula had to break up a fight between them and Murray, Wayne and Frank over the entertainment dispute.	In Dracula had to break up a dispute between them and Murray, Wayne and Frank over the entertainment dispute.	In the first film end an argument between them and Murray, Wayne and Frank regarding the entertainment dispute.
6180	James Henry Engley est né le 5 avril 1851 à Attleborough, Massachusetts, en tant que fils d'Eugene D. Engley et de sa femme, Mary Kaley.	James Henry Engley was born on April 5, 1851 in Attleborough, Massachusetts, as the son of Eugene D. Engley and his wife, former Mary Kaley.	James Henry Engley was born on April 5, 1851, in Attleborough, Massachusetts, as the son of Eugene D. Engley and his wife, Mary Kaley.	James Henry Engley was born April 5, 1851 in Attleborough, Massachusetts, the son of Eugene D. Engley and his wife, the former Mary Kaley.	James Henry, 1851 in Attleborough, Massachusetts, as the son of Eugene D. Engley and his wife, former Mary Kaley.	April 5, 1851, in Attleborough, Massachusetts, as the son of Eugene D. Engley and his wife, Mary Kaley.
4307	William Harris était le second fils de Wlliam Harris, son frère aîné Christopher Harris était député d'Okehampton.	William Harris was the second son of William Harris, his elder brother Christopher Harris was MP for Okehampton.	William Harris was the second son of William Harris, his older brother Christopher Harris was MP for Okehampton.	Harris was the second son of William Harris. His elder brother, Christopher Harris, was MP for Okehampton.	William Harris of William Harris, his elder brother Christopher Harris was MP for Okehampton.	William Harris was William Harris, his older brother Christopher Harris was MP for Okehampton.
7219	William Williams, connu sous le nom de Llewelyn Williams (10 mars 1867 - 22 avril 1922), était un journaliste, avocat et politicien radical du Parti libéral gallois.	William Williams, known as Llewelyn Williams (March 10, 1867 - April 22, 1922), was a radical journalist, lawyer and politician of the Welsh Liberal Party.	William Williams, known as Llewelyn Williams (10 March 1867 – 22 April 1922), was a radical Welsh Liberal Party journalist, lawyer and politician.	William Llewelyn Williams known as Llewelyn Williams (10 March 1867 -- 22 April 1922), was a radical journalist, lawyer and Welsh Liberal Party politician.	William Williams, known as - April 22, 1922), was a radical journalist, lawyer and politician of the Welsh liberal party.	William (10 March 1867 – 22 April 1922), was a radical Welsh liberal party journalist, lawyer and politician.
2714	Après que Finch est retourné au camp principal, Mitchell est arrivé avec des nouvelles tragiques.	After Finch returned to the main camp, Mitchell arrived with tragic news.	After Finch returned to main camp, Mitchell arrived with tragic news.	After Finch had returned to the main camp, Mitchell arrived with tragic news.	After the main camp, Mitchell arrived with tragic news.	To main camp, Mitchell arrived with tragic news.
6551	Le propriétaire du terrain à l'époque était M. Leslie Vernon Calcutt et il a accepté un bail de 99 ans avec M. Johnson.	The owner of the land at that time was Mr Leslie Vernon Calcutt, and he agreed a 99-year lease with Mr Johnson.	The owner of the land at the time was Mr Leslie Vernon Calcutt and he agreed to a 99 year lease with Mr Johnson.	At that time, the owner of the country was Mr Leslie Vernon Calcutt, and he agreed a 99-year rent with Mr Johnson.	The owner of the Mr Leslie Vernon Calcutt, and he agreed a 99-Year lease with Mr Johnson.	The owner of was Mr Leslie Vernon Calcutt and he agreed to a 99 year lease with Mr Johnson.
609	Pour la guerre conventionnelle, trois brigades (11 bataillons) ont été constituées, une importante force de guérilla (estimée à 100 000 hommes) a été formée.	For conventional warfare, three brigades (11 battalions) were set up, a large guerrilla force (estimated at 100,000) was trained.	For conventional warfare, three brigades (11 battalions) were formed, a large guerrilla force (estimated at 100,000 men) was formed.	Three brigades (11 Battalions) were raised for conventional warfare; a large guerrilla force (estimated at 100,000) was trained.	For (11 battalions) were set up, a large guerrilla force (estimated at 100,000) was trained.	For conventional warfare,) were formed, a large guerrilla force (estimated at 100,000 men) was formed.
5743	Le championnat de 2007 s'est déroulé du 21 au 28 janvier à Spokane, à Washington, dans le Spokane Arena et au Spokane Convention Center.	The 2007 championship took place between 21 and 28 January in Spokane, Washington, in the Spokane Arena and the Spokane Convention Center.	The 2007 championship was held January 21-28 in Spokane, Washington at Spokane Arena and the Spokane Convention Center.	The 2007 Championships took place between January 21 and 28 in Spokane, Washington in the Spokane Convention Center and the Spokane Arena.	The 21 and 28 January in Spokane, Washington, in the Spokane arena and the Spokane convention center.	Held January 21-28 in Spokane, Washington at Spokane arena and the Spokane convention center.
6548	Jusqu'en 1991, il offrait la seule scène publique du comté de Tehama et était le seul cinéma jusqu'en 1993.	Until 1991, it offered the only public stage in Tehama County and was the only cinema until 1993.	Until 1991 it offered the only public stage in Tehama County and was the only cinema until 1993.	It provided the only public stage in Tehama County until 1991, and was the only cinema until 1993.	Offered the only public stage in Tehama County and was the only cinema until 1993.	The only public stage in Tehama County and was the only cinema until 1993.
1917	Neville a épousé Edith Cranstoun Macnamara, fille aînée de M. H. T. J. Macnamara, qui a déjà été juge des tribunaux du comté et commissaire des chemins de fer.	Neville married Edith Cranstoun Macnamara, eldest daughter of Mr. H. T. J. Macnamara, who was at one time a Judge of County Courts and a Railway Commissioner.	Neville married Edith Cranstoun Macnamara, eldest daughter of Mr. H. T. J. Macnamara, who was once a county court judge and commissioner of railways.	Neville married Edith Cranstoun Macnamara, the eldest daughter of Mr. H. T. J. Macnamara, who was a judge of the County Courts and a railroad commissioner at one time.	Neville married Edith Cranstoun MacNamara T. J. MacNamara, who was at one time a judge of County courts and a railway Commissioner.	Neville married Edith Cranstoun Mr. H. T. J. MacNamara, who was once a County Court judge and Commissioner of railways.
4837	Britten retourna en Angleterre en avril 1942. Peu de temps après son retour, il demanda à Montagu Slater d'être son librettiste pour "Peter Grimes".	Britten returned to England in April 1942. Soon after his return, he asked Montagu Slater to be his librettist for ``Peter Grimes ''.	Britten returned to England in April 1942. Shortly after his return, he asked Montagu Slater to be his librettist for "Peter Grimes".	In April 1942, Britten returned to England, and soon after returning he asked Montagu Slater to be his librettist for Peter Grimes.	Britten 1942 . soon after his return, he asked Montagu Slater to be his Librettist for "Peter Grimes ".	April 1942 . shortly after his return, he asked Montagu Slater to be his Librettist for "Peter Grimes ".
